Time,Red_Signal
06:00:02.549782,452
06:00:02.549958,449
06:00:02.565511,443
06:00:02.565999,446
06:00:02.581639,447
06:00:02.597020,455
06:00:02.597964,453
06:00:02.613486,458
06:00:02.629795,448
06:00:02.629795,444
06:00:02.645785,436
06:00:02.646124,441
06:00:02.661765,441
06:00:02.677348,451
06:00:02.677348,448
06:00:02.693351,457
06:00:02.709359,448
06:00:02.709359,445
06:00:02.725789,441
06:00:02.725789,447
06:00:02.741766,449
06:00:02.757500,457
06:00:02.758159,456
06:00:02.773684,463
06:00:02.789221,451
06:00:02.789221,435
06:00:02.805221,414
06:00:02.805221,405
06:00:02.821229,393
06:00:02.837235,393
06:00:02.837235,392
06:00:02.853241,411
06:00:02.869763,423
06:00:02.869763,439
06:00:02.885781,449
06:00:02.885781,465
06:00:02.901787,471
06:00:02.917790,480
06:00:02.917790,477
06:00:02.933694,478
06:00:02.949793,462
06:00:02.949793,449
06:00:02.965786,436
06:00:02.966120,435
06:00:02.981606,429
06:00:02.997788,432
06:00:02.998137,427
06:00:03.013481,430
06:00:03.029646,420
06:00:03.030001,412
06:00:03.045638,406
06:00:03.045638,413
06:00:03.061631,415
06:00:03.077648,425
06:00:03.077648,424
06:00:03.093659,432
06:00:03.109787,424
06:00:03.109787,420
06:00:03.125604,419
06:00:03.125604,430
06:00:03.141757,435
06:00:03.157639,448
06:00:03.157639,451
06:00:03.173675,462
06:00:03.189783,460
06:00:03.190140,459
06:00:03.205602,459
06:00:03.205602,472
06:00:03.221651,480
06:00:03.237643,495
06:00:03.237643,500
06:00:03.253647,511
06:00:03.269319,506
06:00:03.269820,506
06:00:03.285307,500
06:00:03.285307,497
06:00:03.301697,487
06:00:03.317698,487
06:00:03.317698,486
06:00:03.333703,493
06:00:03.349709,500
06:00:03.349709,516
06:00:03.365731,539
06:00:03.381753,571
06:00:03.381753,595
06:00:03.397635,614
06:00:03.398048,621
06:00:03.413032,628
06:00:03.429756,614
06:00:03.429756,601
06:00:03.445485,589
06:00:03.461788,587
06:00:03.461788,580
06:00:03.477638,578
06:00:03.477978,569
06:00:03.493478,566
06:00:03.509649,545
06:00:03.510014,533
06:00:03.525622,522
06:00:03.541738,522
06:00:03.541738,521
06:00:03.557649,523
06:00:03.557649,520
06:00:03.573388,523
06:00:03.589782,508
06:00:03.589782,498
06:00:03.605751,491
06:00:03.621545,492
06:00:03.621545,489
06:00:03.637780,489
06:00:03.638132,484
06:00:03.653383,482
06:00:03.669781,464
06:00:03.670138,450
06:00:03.685441,440
06:00:03.701382,438
06:00:03.702034,435
06:00:03.717778,433
06:00:03.717778,429
06:00:03.732972,427
06:00:03.749625,411
06:00:03.749625,399
06:00:03.765489,390
06:00:03.781772,392
06:00:03.781772,386
06:00:03.797444,376
06:00:03.797444,363
06:00:03.813451,354
06:00:03.829456,347
06:00:03.829456,345
06:00:03.845465,347
06:00:03.861477,357
06:00:03.861977,375
06:00:03.877006,403
06:00:03.878005,431
06:00:03.893673,447
06:00:03.909737,444
06:00:03.909737,440
06:00:03.925746,437
06:00:03.941552,437
06:00:03.941552,432
06:00:03.957750,431
06:00:03.958094,420
06:00:03.973353,411
06:00:03.989776,394
06:00:03.990120,383
06:00:04.005594,379
06:00:04.021621,384
06:00:04.021963,387
06:00:04.037632,392
06:00:04.037632,398
06:00:04.053636,402
06:00:04.069648,396
06:00:04.069648,391
06:00:04.085619,396
06:00:04.101642,408
06:00:04.101642,419
06:00:04.117771,431
06:00:04.118117,441
06:00:04.133354,450
06:00:04.149628,447
06:00:04.149628,447
06:00:04.165611,455
06:00:04.181688,469
06:00:04.181688,479
06:00:04.197766,490
06:00:04.213509,500
06:00:04.213968,508
06:00:04.229511,505
06:00:04.229511,503
06:00:04.245591,508
06:00:04.261771,516
06:00:04.262274,525
06:00:04.277419,536
06:00:04.293201,540
06:00:04.293201,535
06:00:04.309209,528
06:00:04.309209,520
06:00:04.325213,518
06:00:04.341219,519
06:00:04.341219,527
06:00:04.357223,547
06:00:04.373251,575
06:00:04.373752,603
06:00:04.389773,614
06:00:04.389773,621
06:00:04.405588,631
06:00:04.421771,640
06:00:04.421771,647
06:00:04.437768,647
06:00:04.453351,645
06:00:04.453351,639
06:00:04.469617,621
06:00:04.470019,604
06:00:04.485574,594
06:00:04.501634,587
06:00:04.501634,583
06:00:04.517633,576
06:00:04.533461,570
06:00:04.533947,561
06:00:04.549487,545
06:00:04.549487,531
06:00:04.565294,524
06:00:04.581742,516
06:00:04.581742,512
06:00:04.597766,502
06:00:04.613357,495
06:00:04.613921,482
06:00:04.629585,463
06:00:04.629585,447
06:00:04.645185,440
06:00:04.661768,436
06:00:04.662272,440
06:00:04.677618,439
06:00:04.693648,445
06:00:04.693648,439
06:00:04.709683,428
06:00:04.710024,418
06:00:04.725392,419
06:00:04.741705,418
06:00:04.741705,423
06:00:04.757611,423
06:00:04.773701,428
06:00:04.773701,425
06:00:04.789162,414
06:00:04.789162,394
06:00:04.804789,382
06:00:04.820797,370
06:00:04.821798,371
06:00:04.836805,369
06:00:04.852811,387
06:00:04.853809,404
06:00:04.869424,424
06:00:04.869836,444
06:00:04.885070,467
06:00:04.901096,478
06:00:04.902093,479
06:00:04.917756,477
06:00:04.932971,484
06:00:04.933961,490
06:00:04.949773,490
06:00:04.950139,488
06:00:04.965758,494
06:00:04.981706,496
06:00:04.981706,502
06:00:04.997762,500
06:00:05.013455,505
06:00:05.013961,497
06:00:05.029609,487
06:00:05.045473,476
06:00:05.045957,477
06:00:05.061631,478
06:00:05.062107,480
06:00:05.077480,479
06:00:05.093178,486
06:00:05.093178,479
06:00:05.109364,470
06:00:05.125761,460
06:00:05.125761,464
06:00:05.141936,465
06:00:05.141936,474
06:00:05.157759,475
06:00:05.173653,484
06:00:05.174028,480
06:00:05.189243,475
06:00:05.205546,470
06:00:05.205910,476
06:00:05.221478,477
06:00:05.221478,486
06:00:05.237625,491
06:00:05.253029,504
06:00:05.254037,502
06:00:05.269279,496
06:00:05.285590,493
06:00:05.285590,492
06:00:05.301595,481
06:00:05.301595,476
06:00:05.317659,468
06:00:05.333665,469
06:00:05.333665,467
06:00:05.349670,473
06:00:05.365687,487
06:00:05.365687,515
06:00:05.381716,538
06:00:05.381716,561
06:00:05.397589,572
06:00:05.413575,583
06:00:05.413575,576
06:00:05.429730,563
06:00:05.445608,551
06:00:05.445608,549
06:00:05.461612,546
06:00:05.461983,549
06:00:05.477611,544
06:00:05.493449,546
06:00:05.494046,537
06:00:05.509640,524
06:00:05.525612,517
06:00:05.525612,515
06:00:05.541555,516
06:00:05.541555,523
06:00:05.557610,524
06:00:05.573539,532
06:00:05.573902,528
06:00:05.589322,520
06:00:05.605458,514
06:00:05.605853,517
06:00:05.621752,521
06:00:05.621752,529
06:00:05.637745,531
06:00:05.653646,539
06:00:05.653996,536
06:00:05.669611,528
06:00:05.685755,526
06:00:05.685755,528
06:00:05.701758,532
06:00:05.701758,538
06:00:05.717752,539
06:00:05.733760,542
06:00:05.733760,536
06:00:05.749777,525
06:00:05.765463,519
06:00:05.765965,519
06:00:05.780924,522
06:00:05.780924,515
06:00:05.797248,499
06:00:05.813262,486
06:00:05.814257,471
06:00:05.829260,464
06:00:05.845266,459
06:00:05.845266,460
06:00:05.861271,473
06:00:05.861271,493
06:00:05.877305,514
06:00:05.893033,529
06:00:05.894038,533
06:00:05.909615,524
06:00:05.925752,517
06:00:05.925752,508
06:00:05.941603,503
06:00:05.957727,494
06:00:05.957727,486
06:00:05.973538,471
06:00:05.974033,451
06:00:05.989744,428
